id,key_identity_id,company_name,min_share_capital,assembly_date,assembly_type,file_path,source,diff_stamm_vs_vorzug
1,5703,HORNBACH Holding AG & Co. KGaA,75.66,08.07.16,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 08.07.16.pdf,LLM,-1.0
2,5703,HORNBACH Holding AG & Co. KGaA,59.41,08.07.11,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 08.07.11.pdf,LLM,-1.0
3,5703,HORNBACH Holding AG & Co. KGaA,58.95,05.07.13,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 05.07.13.pdf,LLM,-1.0
4,5703,HORNBACH Holding AG & Co. KGaA,81.73,06.07.18,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 06.07.18.pdf,LLM,-1.0
5,5703,HORNBACH Holding AG & Co. KGaA,51.12,10.07.14,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 10.07.14.pdf,LLM,-1.0
6,5703,HORNBACH Holding AG & Co. KGaA,77.07,07.07.23,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 07.07.23.pdf,LLM,-1.0
7,5703,HORNBACH Holding AG & Co. KGaA,89.23,09.07.15,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 09.07.15.pdf,LLM,-1.0
8,5703,HORNBACH Holding AG & Co. KGaA,59.05,09.07.10,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 09.07.10.pdf,LLM,-1.0
9,5703,HORNBACH Holding AG & Co. KGaA,100.0,10.07.09,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 10.07.09.pdf,MANUAL,1.0
10,5703,HORNBACH Holding AG & Co. KGaA,68.76,10.07.20,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 10.07.20.pdf,LLM,-1.0
11,5703,HORNBACH Holding AG & Co. KGaA,72.47,07.07.17,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 07.07.17.pdf,LLM,-1.0
12,5703,HORNBACH Holding AG & Co. KGaA,,13.07.07,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 13.07.07.pdf,MANUAL,0.0
13,5703,HORNBACH Holding AG & Co. KGaA,82.0,08.07.22,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 08.07.22.pdf,LLM,-1.0
14,5703,HORNBACH Holding AG & Co. KGaA,58.96,11.07.08,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 11.07.08.pdf,LLM,-1.0
15,5703,HORNBACH Holding AG & Co. KGaA,77.72,08.07.21,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 08.07.21.pdf,LLM,-1.0
16,5703,HORNBACH Holding AG & Co. KGaA,58.78,06.07.12,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 06.07.12.pdf,LLM,-1.0
17,5703,HORNBACH Holding AG & Co. KGaA,79.26,05.07.19,1.0,data/Praesenzen_hv-info/HORNBACH Holding AG & Co. KGaA-5703/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 05.07.19.pdf,LLM,-1.0
18,10690,Hornbach-Baumarkt-Aktiengesellschaft,96.18,06.07.23,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 06.07.23.pdf,LLM,-1.0
19,10690,Hornbach-Baumarkt-Aktiengesellschaft,86.44,08.07.15,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 08.07.15.pdf,LLM,-1.0
20,10690,Hornbach-Baumarkt-Aktiengesellschaft,85.74,05.07.12,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 05.07.12.pdf,LLM,-1.0
21,10690,Hornbach-Baumarkt-Aktiengesellschaft,84.34,08.07.10,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 08.07.10.pdf,LLM,-1.0
22,10690,Hornbach-Baumarkt-Aktiengesellschaft,85.5,07.07.21,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 07.07.21.pdf,LLM,-1.0
23,10690,Hornbach-Baumarkt-Aktiengesellschaft,87.25,09.07.14,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 09.07.14.pdf,LLM,-1.0
24,10690,Hornbach-Baumarkt-Aktiengesellschaft,95.48,07.07.22,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 07.07.22.pdf,LLM,-1.0
25,10690,Hornbach-Baumarkt-Aktiengesellschaft,88.61,04.07.13,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 04.07.13.pdf,LLM,-1.0
26,10690,Hornbach-Baumarkt-Aktiengesellschaft,83.03,10.07.08,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 10.07.08.pdf,LLM,-1.0
27,10690,Hornbach-Baumarkt-Aktiengesellschaft,85.2,09.07.09,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 09.07.09.pdf,MANUAL,0.0
28,10690,Hornbach-Baumarkt-Aktiengesellschaft,88.44,07.07.16,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 07.07.16.pdf,LLM,-1.0
29,10690,Hornbach-Baumarkt-Aktiengesellschaft,83.05,09.07.20,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 09.07.20.pdf,LLM,-1.0
30,10690,Hornbach-Baumarkt-Aktiengesellschaft,81.98,07.07.11,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 07.07.11.pdf,LLM,-1.0
31,10690,Hornbach-Baumarkt-Aktiengesellschaft,84.87,04.07.19,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 04.07.19.pdf,LLM,-1.0
32,10690,Hornbach-Baumarkt-Aktiengesellschaft,84.12,06.07.17,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 06.07.17.pdf,LLM,-1.0
33,10690,Hornbach-Baumarkt-Aktiengesellschaft,,12.07.07,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 12.07.07.pdf,MANUAL,0.0
34,10690,Hornbach-Baumarkt-Aktiengesellschaft,87.72,05.07.18,1.0,data/Praesenzen_hv-info/Hornbach-Baumarkt-Aktiengesellschaft-10690/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 05.07.18.pdf,LLM,-1.0
35,15669,Sky Deutschland AG,29.61,15.06.07,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 15.06.07.pdf,LLM,-1.0
36,15669,Sky Deutschland AG,70.95,18.04.13,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 18.04.13.pdf,LLM,-1.0
37,15669,Sky Deutschland AG,73.37,15.04.11,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 15.04.11.pdf,LLM,-1.0
38,15669,Sky Deutschland AG,44.92,17.05.06,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 17.05.06.pdf,LLM,-1.0
39,15669,Sky Deutschland AG,96.97,22.07.15,2.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur außerordentlichen Hauptversammlung am 22.07.15.pdf,LLM,-1.0
40,15669,Sky Deutschland AG,55.77,09.07.09,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 09.07.09.pdf,LLM,-1.0
41,15669,Sky Deutschland AG,54.52,12.06.08,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 12.06.08.pdf,LLM,-1.0
42,15669,Sky Deutschland AG,92.89,19.11.14,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 19.11.14.pdf,LLM,-1.0
43,15669,Sky Deutschland AG,79.81,03.04.12,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 03.04.12.pdf,LLM,-1.0
44,15669,Sky Deutschland AG,63.2,26.02.09,2.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur außerordentlichen Hauptversammlung am 26.02.09.pdf,LLM,-1.0
45,15669,Sky Deutschland AG,78.83,10.04.14,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 10.04.14.pdf,LLM,-1.0
46,15669,Sky Deutschland AG,75.31,23.04.10,1.0,data/Praesenzen_hv-info/Sky Deutschland AG-15669/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 23.04.10.pdf,LLM,-1.0
47,15320,Heidelberger Druckmaschinen AG,29.64,24.07.15,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 24.07.15.pdf,LLM,-1.0
48,15320,Heidelberger Druckmaschinen AG,28.61,24.07.14,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 24.07.14.pdf,LLM,-1.0
49,15320,Heidelberger Druckmaschinen AG,48.89,29.07.10,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 29.07.10.pdf,LLM,-1.0
50,15320,Heidelberger Druckmaschinen AG,30.27,21.07.22,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 21.07.22.pdf,LLM,-1.0
51,15320,Heidelberger Druckmaschinen AG,32.7,28.07.16,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 28.07.16.pdf,LLM,-1.0
52,15320,Heidelberger Druckmaschinen AG,31.83,23.07.13,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 23.07.13.pdf,LLM,-1.0
53,15320,Heidelberger Druckmaschinen AG,27.42,26.07.23,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 26.07.23.pdf,LLM,-1.0
54,15320,Heidelberger Druckmaschinen AG,47.94,28.07.11,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 28.07.11.pdf,LLM,-1.0
55,15320,Heidelberger Druckmaschinen AG,,18.07.08,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 18.07.08.pdf,MANUAL,0.0
56,15320,Heidelberger Druckmaschinen AG,37.57,26.07.12,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 26.07.12.pdf,LLM,-1.0
57,15320,Heidelberger Druckmaschinen AG,27.19,23.07.21,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 23.07.21.pdf,LLM,-1.0
58,15320,Heidelberger Druckmaschinen AG,,23.07.09,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 23.07.09.pdf,MANUAL,0.0
59,15320,Heidelberger Druckmaschinen AG,33.62,23.07.20,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 23.07.20.pdf,LLM,-1.0
60,15320,Heidelberger Druckmaschinen AG,,26.07.07,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 26.07.07.pdf,MANUAL,0.0
61,15320,Heidelberger Druckmaschinen AG,35.42,25.07.19,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 25.07.19.pdf,LLM,-1.0
62,15320,Heidelberger Druckmaschinen AG,37.69,25.07.18,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 25.07.18.pdf,LLM,-1.0
63,15320,Heidelberger Druckmaschinen AG,28.8,27.07.17,1.0,data/Praesenzen_hv-info/Heidelberger Druckmaschinen AG-15320/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 27.07.17.pdf,LLM,-1.0
64,15698,Manz AG,95.38,10.06.08,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 10.06.08.pdf,LLM,-1.0
65,15698,Manz AG,75.79,26.06.07,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 26.06.07.pdf,MANUAL,1.0
66,15698,Manz AG,64.54,16.06.09,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 16.06.09.pdf,LLM,-1.0
67,15698,Manz AG,62.28,16.07.13,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 16.07.13.pdf,LLM,-1.0
68,15698,Manz AG,57.2,07.07.21,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 07.07.21.pdf,LLM,-1.0
69,15698,Manz AG,61.2,19.06.12,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 19.06.12.pdf,LLM,-1.0
70,15698,Manz AG,57.59,04.07.17,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 04.07.17.pdf,LLM,-1.0
71,15698,Manz AG,61.96,09.07.14,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 09.07.14.pdf,LLM,-1.0
72,15698,Manz AG,61.0,30.06.20,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 30.06.20.pdf,LLM,-1.0
73,15698,Manz AG,56.06,07.07.15,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 07.07.15.pdf,LLM,-1.0
74,15698,Manz AG,63.13,22.06.10,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 22.06.10.pdf,LLM,-1.0
75,15698,Manz AG,60.36,02.07.19,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 02.07.19.pdf,LLM,-1.0
76,15698,Manz AG,64.97,04.07.23,1.0,data/Praesenzen_hv-info/Manz AG-15698/ASM/HV-Beschluss zur ordentlichen Hauptversammlung am 04.07.23.pdf,LLM,-1.0
